,Country,EdLevel,YearsCodePro,Age,Gender,Salary
546,United States of America,Less than a Bachelor's Degree,2.0,18.0,Man,37440.0
547,Canada,Bachelor's Degree,9.0,30.0,Man,83194.0
556,Switzerland,Bachelor's Degree,13.0,40.0,Man,111814.0
560,United States of America,Master's Degree,4.0,30.0,Man,133000.0
562,Germany,Less than a Bachelor's Degree,13.0,40.0,Man,69183.0
564,Norway,Bachelor's Degree,6.0,30.0,Man,64737.0
565,Italy,Less than a Bachelor's Degree,8.0,30.0,Man,47563.0
566,Netherlands,Bachelor's Degree,12.0,40.0,Man,118908.0
569,France,Master's Degree,6.0,30.0,Man,69183.0
571,India,Bachelor's Degree,8.0,30.0,Man,29320.0
576,Austria,Bachelor's Degree,8.0,40.0,Man,70264.0
580,Serbia,Bachelor's Degree,21.0,40.0,Man,51888.0
581,France,Master's Degree,7.0,40.0,Man,64859.0
582,Italy,Master's Degree,17.0,40.0,Man,59454.0
585,France,Master's Degree,5.0,30.0,Man,36753.0
587,United States of America,Bachelor's Degree,19.0,50.0,Man,125000.0
588,United Kingdom of Great Britain and Northern Ireland,Bachelor's Degree,10.0,30.0,Man,63854.0
591,India,Less than a Bachelor's Degree,10.0,40.0,Man,123984.0
594,Greece,Less than a Bachelor's Degree,10.0,30.0,Man,25944.0
596,Netherlands,Master's Degree,4.0,30.0,Man,46482.0
607,Italy,Master's Degree,3.0,30.0,Man,35672.0
611,Romania,Bachelor's Degree,5.0,20.0,Man,27144.0
613,United States of America,Bachelor's Degree,8.792445560306254,60.0,Man,140000.0
615,Germany,Bachelor's Degree,7.0,30.0,Man,86478.0
618,India,Bachelor's Degree,7.0,30.0,Man,134028.0
619,United States of America,Bachelor's Degree,25.0,50.0,Man,98000.0
621,Germany,Less than a Bachelor's Degree,18.0,40.0,Man,54049.0
624,United States of America,Bachelor's Degree,3.0,40.0,Man,73500.0
625,Netherlands,Master's Degree,7.0,40.0,Man,56211.0
629,Poland,Master's Degree,6.0,30.0,Man,60744.0
634,India,Bachelor's Degree,2.0,20.0,Man,25128.0
635,Viet Nam,Less than a Bachelor's Degree,8.792445560306254,30.0,Man,24324.0
637,Malta,Bachelor's Degree,10.0,30.0,Man,49725.0
638,Germany,Less than a Bachelor's Degree,4.0,30.0,Man,36324.0
639,United States of America,Bachelor's Degree,1.0,30.0,Man,82000.0
642,United States of America,Doctoral Degree,10.0,30.0,Man,105000.0
646,Finland,Less than a Bachelor's Degree,15.0,30.0,Man,59454.0
650,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelor's Degree,2.0,20.0,Man,28437.0
651,Poland,Less than a Bachelor's Degree,3.0,20.0,Man,41004.0
652,Germany,Bachelor's Degree,5.0,50.0,Man,101612.0
654,United States of America,Bachelor's Degree,9.0,30.0,Man,135000.0
655,India,Bachelor's Degree,7.0,30.0,Man,31332.0
657,Netherlands,Bachelor's Degree,6.0,30.0,Man,50806.0
660,France,Less than a Bachelor's Degree,3.0,30.0,Man,41077.0
662,France,Master's Degree,5.0,30.0,Man,45401.0
668,India,Master's Degree,3.0,30.0,Man,40489.0
669,United States of America,Master's Degree,10.0,30.0,Man,58000.0
672,United Kingdom of Great Britain and Northern Ireland,Master's Degree,3.0,30.0,Man,48472.0
673,Serbia,Less than a Bachelor's Degree,5.0,30.0,Man,27528.0
675,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelor's Degree,0.5,20.0,Man,19389.0
676,Germany,Bachelor's Degree,7.0,30.0,Man,43239.0
677,Spain,Less than a Bachelor's Degree,8.0,30.0,Man,16215.0
680,Germany,Doctoral Degree,7.0,30.0,Man,51888.0
681,Spain,Bachelor's Degree,30.0,50.0,Man,45396.0
682,Italy,Doctoral Degree,6.0,30.0,Man,33095.0
684,United States of America,Bachelor's Degree,2.0,30.0,Man,70000.0
686,Netherlands,Master's Degree,9.0,40.0,Man,57072.0
687,United States of America,Bachelor's Degree,20.0,40.0,Man,130000.0
689,Ukraine,Bachelor's Degree,2.0,20.0,Man,22512.0
691,Brazil,Bachelor's Degree,4.0,30.0,Man,22536.0
693,Belgium,Bachelor's Degree,8.0,30.0,Man,32424.0
694,Germany,Less than a Bachelor's Degree,14.0,50.0,Man,56208.0
698,Austria,Less than a Bachelor's Degree,3.0,20.0,Man,42156.0
700,Israel,Bachelor's Degree,8.0,40.0,Man,91056.0
702,Canada,Less than a Bachelor's Degree,25.0,50.0,Man,68068.0
703,United Kingdom of Great Britain and Northern Ireland,Master's Degree,4.0,30.0,Man,49119.0
709,United States of America,Less than a Bachelor's Degree,4.0,40.0,Man,55702.0
713,France,Master's Degree,5.0,30.0,Man,39131.0
714,Georgia,Master's Degree,8.0,30.0,Man,46644.0
715,United States of America,Bachelor's Degree,4.0,20.0,Man,72000.0
716,United States of America,Less than a Bachelor's Degree,20.0,40.0,Man,110000.0
717,Italy,Less than a Bachelor's Degree,12.0,30.0,Man,45401.0
726,Germany,Less than a Bachelor's Degree,14.0,30.0,Man,75885.0
728,United States of America,Master's Degree,7.0,30.0,Man,125000.0
729,United States of America,Bachelor's Degree,35.0,50.0,Man,70000.0
